$KEY used	id	name	category	type	attribute	random_spawn	image	fang_item_id	level	hp	attack	defense	exp	thinking_type_id	move_type	sight_type	sight_type_num	skill_on_attack	speed	no_attack_twice	option	skill_prob	skill_option[]	skill_name[]	skill_code[]	skill_option[]	skill_name[]	skill_code[]	skill_option[]	skill_name[]	skill_code[]	soul_name[]	soul_cond[]	soul_code[]	soul_name[]	soul_cond[]	soul_code[]	soul_name[]	soul_cond[]	soul_code[]	promote_id	depromote_id	rare_id	animation_id	show_library	show_hitpoint_gauge	desc	spec	flavor	
$TYPE bool	int	string	string	string	string[]	bool	int	int	int	int	int	int	int	int	string	string	int	json[]	int	bool	option	int	json	string	json[]	json	string	json[]	json	string	json[]	string	json	json[]	string	json	json[]	string	json	json[]	int	int	int	int	bool	bool	string	string	string	
# 反映されるべきデータの場合〇を入れる	ID	キャラ名	系統	そのキャラのタイプ	属性	召喚、自然沸きの対象になるか	画像No	対応ファングID	モンスターの強さ	HP	攻撃力	防御力	取得経験値	AIタイプ	移動タイプ	未使用	未使用	通常攻撃のSHAKUSON	行動速度	2回攻撃しない場合は〇	その他諸々をSYAKUSONで書く	スキル使用確率		スキル名	スキルSHAKUSON							ソウル名	ソウル基本SHAKUSON	ソウル内容SHAKUSON							進化先ID	退化先ID	未使用	アニメーションID	図鑑に出す	HPゲージを表示するか	説明文	仕様書用テキスト	フレーバーテキスト	
〇	999	ロゼ		player_character			999	0		300	5	0	2	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																									999			##未使用		##未使用	
〇	998	ロゼ		player_character			998	0		300	5	0	2	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																									999			##未使用	チャイナロゼ	##未使用	
〇	997	ドラン		player_character			997	0		300	5	0	2	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																									999			##未使用		##未使用	
〇	1	アロエスライム	アロエ系	monster		〇	3	1	1	15	4	0	3	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																						2			1	○	○	特殊能力なし		つるつる、すべすべ！\nさわっていいよ♪	
〇	2	アロエメタルボー	アロエ系	monster		〇	97	2	2	35	10	3	100	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																						3	1		1	○	○	特殊能力なし		いじめる？　いじめるの？\nダンジョンに帰りたいよう。	
〇	3	アロエキンメタ	アロエ系	monster		〇	119	3	3	100	35	16	1200	101	walk	normal		(direct_attack(), StrongAttack, [attack(100,attribute:normal_attack, hit_effect:StrongAttackHit)])	1																							2		1	○	○	特殊能力なし		ひかえよ！\n王の御前である！	
〇	4	ジドリー	ジドリー系	monster		〇	4	4	1	20	4	0	5	101	fly	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																						5			4	○	○	飛行移動		毛並みの美しさが自慢なの。\nお手入れはマメによろしくね。	
〇	5	セイレーン	ジドリー系	monster		〇	182	5	2	70	15	4	40	101	fly	normal		(direct_attack(), NormalMagic, [attack(100,attribute:normal_attack, hit_effect:NormalMagicHit)])	1																						6	4		4	○	○	飛行移動		なんて無礼なのかしら！？\n清らかな水を汚すものは\nこの鉤爪で引き裂いてやる！	
