$KEY used	id	symbol	name	overwrite	against	good	bad	decrement	without_player	without_monster	without_obj	icon	animation_stop	has_image	inherite	message_on	message_off	hit_effect	desc	spec	program_memo	without_boss	
$TYPE bool	int	string	string	json[]	json[]	bool	bool	bool	bool	bool	bool	string	bool	bool	bool	string	string	string	string	string	none	bool	
# 反映されるべきデータの場合〇を入れる	IDはmaster.protoのものと一致させること			上書きする状態異常	相殺する状態異常	良い状態異常か	悪い状態異常か	自動減算	主人公無効化	モンスター無効化	岩無効化	デバッグ用？	アニメーションをストップさせるか	画像があるか	進化/退化の引き継ぎ	発症時のログ	解除時のログ(主人公のみ)	当たったときのエフェクト	説明文	仕様書用テキスト	プログラマの実装メモ	ボス無効化	
〇	1	snooze	仮眠				○		○		○	仮	○	○						### 主人公・オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)\n\n### モンスター\n- モンスターは特殊な設定がされていない限り、初期生成時の50%、リスポン時の25で睡眠状態で生成される\n- モンスターハウスに生成されたキャラは100%仮眠状態で生成される\n- ボス部屋に生成されたキャラには別の状態異常が付与される予定\n- モンスターハウスの起動によって100%解除される\n- 標的が同じ部屋に「侵入」して来ると即座に50%で解除され、次の自身のターンでは行動を行わない\n- 標的が複数存在する場合は全てに対して抽選が行われる\n- 標的が同じ部屋から「離脱」すると即座に50%で解除され、次の自身のターンでは行動を行わない※視界からの消滅では無い点に注意\n- 離脱の要因が下記の場合は解除されない(標的の消滅もあわせて参照)\n  - 標的の死亡\n  - 標的の透明化\n  - 標的の竜香効果の解除\n\n\n- 離脱の要因が下記の場合は解除抽選を通常通り行う(標的の消滅もあわせて参照)\n  - 標的の移動\n  - 標的の転送\n  - 標的が視界外に吹き飛ばされた\n  - 標的が視界外に引き寄せられた\n  - 標的が視界外に入れ替えをされた\n\n\n- 主人公が仮眠中のモンスターに隣接すると、主人公が50%の解除抽選を行い、次の自身のターンでは行動を行わない\n- 何かしらの攻撃を受けると、即座に解除され、次の自身のターンで行動を行う			
〇	2	sleep	睡眠	snooze,semisnooze,paralyze,frog_baloon			○	○			○	眠	○	○		{0}は眠ってしまった！	{0}は目が覚めた！	HitSleep		### 共通\n- この状態異常にかかっている間、あらゆる行動が出来なくなる(ターンが回ってこない)\n- 行動が出来なくてもソウルは保持するため、睡眠中に攻撃を受けた際にカウンターが発動する事がありえる\n- 効果ターン数は短めに設定されている事が多い			
〇	3	bind	拘束	snooze,semisnooze,paralyze			○	○			○	拘		○		{0}は移動が出来なくなってしまった！	{0}は動けるようになった！	HitBind		### 主人公・モンスター\n- この状態異常にかかっている間、移動が出来なくなる\n- 主人公の場合は、Bダッシュや階段オート移動も同様に行えなくなる\n- 通常攻撃やアイテム使用、スキル使用には制限はかからない(移動系スキルであっても発動可能)\n- 移動系スキルを受けるか、移動系スキルの使用によって解除される(ふきとばし、ステップバック、入れ替え、吸い寄せ、転送)\n  - 実際にキャラの位置に変化が無かったとしても、この効果を受けた時点で解除される\n  - 耐性によって無効化された場合は、効果を受けたとして判定されない\n\n\n- 多くのボスは耐性を持つ\n- ターン数が長めに設定されている事が多い\n- 鞭との相性が優遇される予定\n\n\n### オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
〇	4	paralyze	かなしばり	snooze,semisnooze,sleep,confuse,hallucinate,berserk,frog_baloon			○	○			○	縛	○	○		{0}は身動きがとれなくなってしまった！	{0}は動けるようになった！	HitParalyze		### 主人公・モンスター\n- この状態異常にかかっている間、あらゆる行動が出来なくなる(ターンが回ってこない)\n- 攻撃スキルまたは回復スキルを受けると解除されてしまう(何をもって攻撃行動とするかは、スキル効果ごとに設定される)\n  - ただし、一部のスキル効果はかなしばり解除判定の対象とならない(入れ替え、吸い寄せ、転送、毒、猛毒、石化、ドレインなど)\n    - これはダメージを伴わないために攻撃行為として判定されない事を意味する\n    - 毒系が解除対象とならないのは、スキル相性に考慮してのこと\n  - かなしばり状態中に石化やドレインを受け続ける危険性がある\n\n\n- かなしばり状態に対して上書き属性を持つ状態異常が多い\n  - モンスターのバフスキルやHP回復スキルでも解除される\n\n\n- 効果ターン数は長めに設定されている事が多い\n- 多くのボスは耐性を持つ\n\n\n### オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
〇	5	confuse	混乱	snooze,semisnooze,paralyze,hallucinate,berserk,frog_baloon			○	○				混		○		{0}は混乱してしまった！	{0}は落ち着きを取り戻した！	HitConfuse		### 主人公\n- この状態異常にかかっている間、移動と通常攻撃の方向がランダムになってしまう\n\n- Ａボタンによる通常攻撃方向がランダムになる\n  - 8方向のどの方向に攻撃を行うかがランダムになる\n\n\n- 移動を試みた場合、移動出来るマスに対してランダムで移動する\n  - 移動出来るマスが無い場合は、何も起こらない(ターンも消費しない)\n\n\n- 自動向き直りが無効化される\n　あらゆる自動向き直りが発生しなくなる(前ターンの行動に対して正面を向いたままとなる)\n\n\n- Ｂダッシュの挙動が変化する\n  - Lスティック単体または方向キー単体を押した時と同じ挙動になるが、処理は高速化される\n  -必ず１歩移動となる\n\n\n- Rボタンによる斜め移動モードが機能しなくなる\n  - Rボタンを伴った移動であっても、Ｌスティック単体または方向キー単体を押した時と同じ挙動になる\n\n\n- 階段オート移動が出来なくなる\n  - ダイアログ「混乱中は階段へのオート移動は出来ません」\n\n\n- 待機、方向転換、アイテム(サクリ)使用、スキル使用、矢攻撃、各種足元メニュー操作には影響を与えない\n\n\n\n### モンスター\n- この状態異常にかかっている間、標的以外にも攻撃する可能性を持ち、行動がランダムになる\n  - ５０％で隣接する主人公、モンスター、オブジェに通常攻撃を行う\n    - どのキャラに攻撃するかはランダム\n\n\n  - ５０％で移動出来るマスに対してランダムで移動を試みる\n  - どちらかの行動が出来なければ、必ずもう一方の行動を選択する\n    - どちらも不可能なら待機する\n\n\n- この状態異常にかかっている間、スキルの使用確率が0%になる\n  - ソウルは保持される\n\n\n### オブジェ\n- 移動できるマスに対して、ランダムで移動をする(攻撃は行わない)\n- 移動できるマスが無い場合は待機する			
〇	6	hallucinate	幻覚	snooze,semisnooze,paralyze,confuse,frog_baloon	berserk		○	○			○	幻		○		{0}は逃げ出しはじめた！	{0}は落ち着きを取り戻した！	HitHalluc		### 主人公\n- この状態異常にかかっている間、あらゆる操作が出来なくなる\n\n- 行動はＡＩに支配され、状態異常が解けるまで自動操作となる\n  - 挙動はモンスターの「逃げＡＩ」と同じとなる(敵から遠ざかるようにドアを目指し、通路では出来るだけ前進する)\n\n\n- 幻覚中は非ブレイブ状態とみなされる(あらゆる行動がブレイブアクションと看做されない)\n  - 竜神結界のグラフィックも展開されない\n\n\n- 幻覚中であっても罠、特殊床の発動抽選は普段と同様に行われる(落とし穴に落ちてフロア移動が行われる事も在り得る)\n- 幻覚中はアイテムの上を通っても取得しない\n- 幻覚中は階段の上を通っても、階段メニューがオープンしない(フロアを進むことも無い)\n- 操作が出来なくてもソウルは保持するため、幻覚中に攻撃を受けた際にカウンターが発動する事がありえる\n\n\n\n### モンスター\n- この状態異常にかかっている間、ＡＩが強制的に逃げＡＩとして上書きされる(標的から遠ざかるようにドアを目指し、通路では出来るだけ前進する)\n  - この状態では一切攻撃して来ない\n\n\n- スキルの使用率が0%になる\n- 幻覚中であっても罠、特殊床の発動抽選は普段と同様に行われる\n- 封印状態とは違い、ソウルは保持するため、幻覚中に攻撃を受けた際にカウンターが発動する事がありえる\n\n\n### オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
〇	7	berserk	狂暴化	snooze,semisnooze,paralyze,confuse,frog_baloon	hallucinate		○	○			○	狂		○		{0}は狂暴化してしまった！	{0}の怒りは収まった！	HitBerserk		### 主人公\n- この状態異常の間、あらゆる操作入力が不可能となり、自動で行動をしてしまう\n- 視界内にモンスターが居ない場合は、モンスターの徘徊AIと同じロジックでダンジョンを徘徊する\n- 視界内かつ最も距離が近いモンスターに対して、通常攻撃を試みる(オブジェは除く)\n  - 同じ距離に2キャラ以上が存在する場合はランダムで対象を選択する\n\n\n- ソウル効果は全て保持する\n\n\n### モンスター\n- 主人公を含む、全てのモンスター(岩除く)を敵として認識する\n- 視界内かつ最も距離が近い対象を敵と見做し、攻撃行動を開始する\n  - 同じ距離に2キャラ以上が存在する場合はランダムで対象を選択するが、主人公の優先度は最も低い\n\n\n- 数値が設定され、その値以内に主人公がいる時のみ、狂戦士AIを参照して行動するようになる\n- 狂戦士中のモンスターの行動は必ずログが発行される\n- この状態異常の間、スキルの使用率が0%になる\n\n\n### オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
〇	8	attack_up	剛力		attack_down	○		○			○	剛		○		{0}は力が溢れてきた！	{0}は元にもどった！	HitAttackUp		- 詳細はダメージ計算式を参照\n\n### 主人公\n- 通常攻撃とスキル、矢攻撃時の与ダメージ計算に補正がかかる(ダメージが1.5倍になる)\n- アイテムの効果によるダメージには補正はかからない\n\n\n### モンスター\n- 通常攻撃とスキルの与ダメージ計算時に補正がかかる(2倍になる)\n\n\n###オブジェ\n- スキル、ソウルの効果が強化される\n- スキル、ソウルの効果について、剛力時のデータを参照する\n  - 設定が無い場合は、元のスキルを参照する			
